"","country_code","country_name","date","s1_school_closing","s1_is_general","s2_workplace_closing","s2_is_general","s3_cancel_public_events","s3_is_general","s4_close_public_transport","s4_is_general","s5_public_information_campaigns","s5_is_general","s6_restrictions_on_internal_movement","s6_is_general","s7_international_travel_controls","s8_fiscal_measures","s9_monetary_measures","s10_emergency_investment_in_health_care","s11_investment_in_vaccines","s12_testing_framework","s13_contact_tracing","confirmed_cases","confirmed_deaths","stringency_index","stringency_index_for_display","hospital_beds_per_million","people_per_sq_km","gdp_percap","population_millions","age_percent_0_to_14","age_percent_15_to_64","age_percent_65_UP","deaths_per_million","cases_per_million","spare_beds_per_million"
"1","ABW","Aruba",20200125,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,0,0,NA
"2","ABW","Aruba",20200305,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,0,0,NA
"3","ABW","Aruba",20200306,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,0,0,NA
"4","ABW","Aruba",20200307,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,0,0,NA
"5","ABW","Aruba",20200308,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,0,0,NA
"6","ABW","Aruba",20200309,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,0,0,NA
"7","ABW","Aruba",20200310,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,0,0,NA
"8","ABW","Aruba",20200311,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,0,0,NA
"9","ABW","Aruba",20200116,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,0,0,NA
"10","ABW","Aruba",20200401,2,1,2,1,2,1,0,1,1,1,2,1,3,NA,NA,0,0,0,0,55,0,85.71,85.71,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,0,519.627757570032,NA
"11","ABW","Aruba",20200205,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,55,0,0,0,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,0,519.627757570032,NA
"12","ABW","Aruba",20200412,2,1,2,1,2,1,NA,NA,NA,NA,2,1,3,NA,NA,NA,NA,NA,NA,92,0,NA,NA,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,0,869.195521753507,NA
"13","ABW","Aruba",20200207,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,92,0,0,0,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,0,869.195521753507,NA
"14","ABW","Aruba",20200208,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,92,0,0,0,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,0,869.195521753507,NA
"15","ABW","Aruba",20200209,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,92,0,0,0,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,0,869.195521753507,NA
"16","ABW","Aruba",20200324,2,1,NA,NA,2,1,0,1,1,1,2,NA,3,NA,NA,0,0,0,0,12,0,66.67,66.67,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,0,113.373328924371,NA
"17","ABW","Aruba",20200101,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,12,0,0,0,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,0,113.373328924371,NA
"18","ABW","Aruba",20200102,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,12,0,0,0,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,0,113.373328924371,NA
