"","country_code","country_name","date","s1_school_closing","s1_is_general","s2_workplace_closing","s2_is_general","s3_cancel_public_events","s3_is_general","s4_close_public_transport","s4_is_general","s5_public_information_campaigns","s5_is_general","s6_restrictions_on_internal_movement","s6_is_general","s7_international_travel_controls","s8_fiscal_measures","s9_monetary_measures","s10_emergency_investment_in_health_care","s11_investment_in_vaccines","s12_testing_framework","s13_contact_tracing","confirmed_cases","confirmed_deaths","stringency_index","stringency_index_for_display","hospital_beds_per_million","people_per_sq_km","gdp_percap","population_millions","age_percent_0_to_14","age_percent_15_to_64","age_percent_65_UP","deaths_per_million","cases_per_million","spare_beds_per_million"
"32","ABW","Aruba",20200416,2,1,2,1,2,1,NA,NA,NA,NA,2,1,3,NA,NA,NA,NA,NA,NA,93,1,NA,NA,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,9.44777741036421,878.643299163872,NA
"33","ABW","Aruba",20200117,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,93,1,0,0,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,9.44777741036421,878.643299163872,NA
"34","ABW","Aruba",20200118,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,93,1,0,0,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,9.44777741036421,878.643299163872,NA
"35","ABW","Aruba",20200119,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,93,1,0,0,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,9.44777741036421,878.643299163872,NA
"73","ABW","Aruba",20200417,2,1,2,1,2,1,NA,NA,NA,NA,2,1,3,NA,NA,NA,NA,NA,NA,95,1,NA,85.71,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,9.44777741036421,897.5388539846,NA
"74","ABW","Aruba",20200418,2,1,2,1,2,1,NA,NA,NA,NA,2,1,3,NA,NA,NA,NA,NA,NA,96,2,NA,85.71,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,18.8955548207284,906.986631394964,NA
"75","ABW","Aruba",20200323,2,1,NA,NA,2,1,0,1,1,1,2,NA,3,NA,NA,0,0,0,0,96,2,66.67,66.67,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,18.8955548207284,906.986631394964,NA
"76","ABW","Aruba",20200322,2,1,NA,NA,2,1,0,1,1,1,2,NA,3,NA,NA,0,0,0,0,96,2,66.67,66.67,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,18.8955548207284,906.986631394964,NA
"77","ABW","Aruba",20200312,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,96,2,0,0,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,18.8955548207284,906.986631394964,NA
"102","ABW","Aruba",20200419,2,1,2,1,2,1,NA,NA,NA,NA,2,1,3,NA,NA,NA,NA,NA,NA,96,2,NA,85.71,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,18.8955548207284,906.986631394964,NA
"103","ABW","Aruba",20200212,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,96,2,0,0,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,18.8955548207284,906.986631394964,NA
"104","ABW","Aruba",20200421,2,1,2,1,2,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,97,2,NA,85.71,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,18.8955548207284,916.434408805329,NA
"105","ABW","Aruba",20200422,2,1,2,1,2,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,97,2,NA,85.71,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,18.8955548207284,916.434408805329,NA
"106","ABW","Aruba",20200227,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,97,2,0,0,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,18.8955548207284,916.434408805329,NA
"107","ABW","Aruba",20200228,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,97,2,0,0,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,18.8955548207284,916.434408805329,NA
"112","ABW","Aruba",20200420,2,1,2,1,2,1,NA,NA,NA,NA,2,1,3,NA,NA,NA,NA,NA,NA,97,2,NA,85.71,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,18.8955548207284,916.434408805329,NA
"127","AFG","Afghanistan",20200420,2,1,NA,NA,2,0,2,0,1,1,2,0,1,NA,NA,NA,0,1,1,996,33,NA,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.887755765798838,26.7940831132013,473.205916886799
"143","AFG","Afghanistan",20200422,NA,NA,NA,NA,2,0,2,0,1,1,2,0,1,NA,NA,NA,0,1,1,1092,36,NA,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.968460835416914,29.3766453409797,470.62335465902
"144","AFG","Afghanistan",20200314,2,1,0,NA,2,0,0,NA,1,1,0,1,1,2.5e+07,NA,2.5e+07,0,1,1,1092,36,42.86,42.86,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.968460835416914,29.3766453409797,470.62335465902
"177","AFG","Afghanistan",20200329,2,1,2,0,2,0,2,0,1,1,2,0,1,0,NA,0,0,1,1,106,3,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.0807050696180762,2.85157912650536,497.148420873495
"178","AFG","Afghanistan",20200404,2,1,2,0,2,0,2,0,1,1,2,0,1,0,NA,0,0,1,1,235,4,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.107606759490768,6.32189712008263,493.678102879917
"179","AFG","Afghanistan",20200402,2,1,2,0,2,0,2,0,1,1,2,0,1,0,NA,0,0,1,1,192,4,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.107606759490768,5.16512445555687,494.834875544443
"180","AFG","Afghanistan",20200403,2,1,2,0,2,0,2,0,1,1,2,0,1,0,NA,0,0,1,1,235,4,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.107606759490768,6.32189712008263,493.678102879917
"188","AFG","Afghanistan",20200412,2,1,2,0,2,0,2,0,1,1,2,0,1,0,NA,0,0,1,1,555,18,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.484230417708457,14.9304378793441,485.069562120656
"192","AFG","Afghanistan",20200325,2,1,0,NA,2,0,0,NA,1,1,2,0,1,0,NA,0,0,1,1,42,1,52.38,52.38,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.0269016898726921,1.12987097465307,498.870129025347
"193","AFG","Afghanistan",20200414,2,1,2,0,2,0,2,0,1,1,2,0,1,0,NA,0,0,1,1,665,21,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.564935487326533,17.8896237653402,482.11037623466
"194","AFG","Afghanistan",20200407,2,1,2,0,2,0,2,0,1,1,2,0,1,0,NA,0,0,1,1,337,7,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.188311829108844,9.06586948709722,490.934130512903
"195","AFG","Afghanistan",20200405,2,1,2,0,2,0,2,0,1,1,2,0,1,0,NA,0,0,1,1,270,5,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.13450844936346,7.26345626562685,492.736543734373
"196","AFG","Afghanistan",20200406,2,1,2,0,2,0,2,0,1,1,2,0,1,0,NA,0,0,1,1,299,7,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.188311829108844,8.04360527193492,491.956394728065
"200","AFG","Afghanistan",20200415,2,1,2,0,2,0,2,0,1,1,2,0,1,NA,NA,NA,0,1,1,714,23,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.618738867071917,19.2078065691021,480.792193430898
"202","AFG","Afghanistan",20200401,2,1,2,0,2,0,2,0,1,1,2,0,1,0,NA,0,0,1,1,166,4,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.107606759490768,4.46568051886688,495.534319481133
